ID,Date,Monetary,Gender
245114,20140822,469000,"F"
245135,20140812,10000,"F"
245135,20140804,50000,"F"
245135,20140825,10000,"F"
245135,20140822,10000,"F"
245135,20140812,10000,"F"
245204,20140729,10000,"F"
245204,20140729,10000,"F"
245204,20140812,10000,"F"
245204,20140810,10000,"F"
245204,20140801,10000,"F"
245204,20140810,10000,"F"
245204,20140826,10000,"F"
245238,20140701,20000,"F"
245238,20140814,50000,"F"
245261,20140819,485000,"F"
245285,20140701,20000,"F"
245285,20140701,50000,"F"
245285,20140628,100000,"F"
245285,20140729,20000,"F"
245285,20140729,20000,"F"
245285,20140710,20000,"F"
245285,20140812,20000,"F"
245285,20140826,20000,"F"
245285,20140822,50000,"F"
245322,20140717,10000,"F"
245322,20140827,10000,"F"
245373,20140719,20000,"F"
245373,20140707,20000,"F"
245373,20140628,100000,"F"
245502,20140729,109000,"F"
245531,20140628,20000,"F"
245531,20140703,20000,"F"
245531,20140707,20000,"F"
245531,20140628,20000,"F"
245531,20140628,20000,"F"
245531,20140729,20000,"F"
245531,20140717,10000,"F"
245531,20140726,20000,"F"
245531,20140719,10000,"F"
245531,20140814,10000,"F"
245531,20140810,20000,"F"
245531,20140801,10000,"F"
245531,20140812,20000,"F"
245531,20140810,10000,"F"
245531,20140726,20000,"F"
245531,20140825,20000,"F"
245531,20140825,20000,"F"
245531,20140826,20000,"F"
245531,20140827,20000,"F"
245531,20140702,20000,"F"
245531,20140827,20000,"F"
245560,20140703,10000,"F"
245560,20140701,10000,"F"
245560,20140628,10000,"F"
245560,20140628,10000,"F"
245560,20140729,50000,"F"
245560,20140729,20000,"F"
245560,20140729,10000,"F"
245560,20140729,50000,"F"
245560,20140730,10000,"F"
245560,20140801,10000,"F"
245560,20140827,10000,"F"
245560,20140826,10000,"F"
245560,20140825,10000,"F"
245560,20140702,10000,"F"
245560,20140703,10000,"F"
245577,20140726,10000,"F"
245577,20140719,10000,"F"
245577,20140717,20000,"F"
245658,20140822,691000,"F"
245695,20140719,404000,"F"
245742,20140710,10000,"F"
245742,20140726,10000,"F"
245742,20140726,10000,"F"
245742,20140726,10000,"F"
245742,20140825,10000,"F"
245787,20140628,20000,"F"
245787,20140703,20000,"F"
245787,20140719,50000,"F"
245787,20140812,20000,"F"
245787,20140812,20000,"F"
245787,20140801,20000,"F"
245787,20140827,20000,"F"
245926,20140702,20000,"F"
245926,20140628,10000,"F"
245951,20140711,20000,"F"
245951,20140726,20000,"F"
245951,20140825,20000,"F"
246040,20140726,10000,"F"
246073,20140702,50000,"F"
246073,20140729,20000,"F"
246073,20140711,50000,"F"
246073,20140814,20000,"F"
246073,20140827,10000,"F"
246073,20140810,20000,"F"
246078,20140810,291000,"F"
246078,20140810,60000,"F"
246131,20140822,10000,"F"
246131,20140719,10000,"F"
246131,20140826,10000,"F"
246236,20140814,27000,"F"
246303,20140717,10000,"F"
246303,20140810,10000,"F"
246303,20140822,20000,"F"
246357,20140812,50000,"F"
246357,20140826,50000,"F"
246366,20140707,57000,"F"
246372,20140730,20000,"F"
246372,20140810,20000,"F"
246372,20140810,20000,"F"
246372,20140810,20000,"F"
246372,20140810,20000,"F"
246372,20140703,20000,"F"
246376,20140719,50000,"F"
246376,20140719,10000,"F"
246376,20140812,50000,"F"
246376,20140827,50000,"F"
246376,20140827,50000,"F"
246503,20140710,781000,"F"
246503,20140710,122000,"F"
246503,20140810,669000,"F"
246610,20140711,10000,"F"
246610,20140719,50000,"F"
246610,20140711,20000,"F"
246610,20140710,20000,"F"
246610,20140726,20000,"F"
246610,20140717,10000,"F"
246610,20140710,10000,"F"
246610,20140719,20000,"F"
246610,20140711,10000,"F"
246610,20140729,50000,"F"
246610,20140729,20000,"F"
246610,20140729,20000,"F"
246610,20140710,10000,"F"
246610,20140710,10000,"F"
246610,20140730,20000,"F"
246610,20140710,20000,"F"
246610,20140730,20000,"F"
246610,20140801,20000,"F"
246610,20140812,20000,"F"
246610,20140730,20000,"F"
246610,20140801,20000,"F"
246610,20140804,20000,"F"
246610,20140801,20000,"F"
246610,20140801,20000,"F"
246610,20140801,20000,"F"
246610,20140825,50000,"F"
246610,20140826,20000,"F"
246610,20140826,10000,"F"
246610,20140710,20000,"F"
246610,20140710,20000,"F"
246634,20140801,10000,"F"
246634,20140801,20000,"F"
246634,20140814,10000,"F"
246634,20140814,10000,"F"
246634,20140810,10000,"F"
246634,20140717,10000,"F"
246634,20140729,10000,"F"
246651,20140703,20000,"M"
246651,20140701,10000,"M"
246651,20140707,20000,"M"
246651,20140719,20000,"M"
246651,20140717,20000,"M"
246651,20140711,50000,"M"
246651,20140827,20000,"M"
246672,20140729,10000,"M"
246672,20140825,20000,"M"
246839,20140827,130000,"M"
246839,20140827,256000,"M"
246864,20140711,10000,"M"
246864,20140710,20000,"M"
246864,20140717,20000,"M"
246864,20140812,10000,"M"
246864,20140814,50000,"M"
246864,20140819,20000,"M"
246864,20140822,20000,"M"
246904,20140719,169000,"M"
246904,20140719,73000,"M"
246904,20140719,7000,"M"
246904,20140719,6000,"M"
